	yearPub	numWords	sizeCat	reprintCount	timeSlot	aggregated
Gouraud	0.5742485942112718	0.0	0.0	0.0	1.0	0.3148497188422544
Ohnet	0.19007845087665887	0.9091472587423576	0.5	0.0	0.0	0.3198451419238033
Gréville	0.27067182510324805	0.0618110449104268	0.5	0.0	1.0	0.36649657400273494
Flaubert	0.2868772284574975	0.5496784212988106	0.0	0.0	1.0	0.3673111299512616
Balzac	0.0	0.8864165132839513	1.0	0.0	0.0	0.3772833026567903
Fleuriot	0.12649859135304486	0.3800149658795907	0.5	0.0	1.0	0.4013027114465271
Sand	1.0	0.5615685688843155	0.5	0.0	1.0	0.6123137137768631
Malot	0.5085074519506668	0.668240956844747	0.5	1.0	1.0	0.7353496817590828
Féval	0.6359545033401599	0.703096060033331	0.5	1.0	1.0	0.7678101126746981
Gautier	0.3173928864510902	1.0	1.0	1.0	1.0	0.863478577290218
